dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1849-01-01,26.704,1.435,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-02-01,27.434,1.362,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-03-01,28.101,1.612,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-04-01,26.14,1.387,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-05-01,25.427,1.2,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-06-01,24.844,1.402,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-07-01,24.058,1.254,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-08-01,23.576,1.265,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-09-01,23.662,1.226,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-10-01,25.263,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-11-01,26.332,1.507,Abidjan,Côte D'Ivoire,5.63N,3.23W
1849-12-01,25.45,1.838,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-01-01,25.803,1.943,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-02-01,27.89,1.43,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-03-01,27.852,2.173,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-04-01,26.547,1.662,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-05-01,25.379,1.355,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-06-01,24.903,1.178,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-07-01,24.04,1.301,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-08-01,23.758,1.282,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-09-01,24,1.22,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-10-01,24.491,1.178,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-11-01,25.542,1.719,Abidjan,Côte D'Ivoire,5.63N,3.23W
1850-12-01,26.014,1.603,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-01-01,26.789,1.249,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-02-01,27.363,1.218,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-03-01,27.181,1.428,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-04-01,26.604,1.654,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-05-01,26.212,1.195,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-06-01,24.898,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-07-01,24.318,1.463,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-08-01,23.752,1.394,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-09-01,24.083,1.121,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-10-01,25.138,1.505,Abidjan,Côte D'Ivoire,5.63N,3	
1851-11-01,25.527,1.409,Abidjan,Côte D'Ivoire,5.63N,3.23W
1851-12-01,26.203,2.358,Abidjan,Côte D'Ivoire,5.63N,3.23W
1856-01-01,26.689,1.27,Abidjan,Côte D'Ivoire,5.63N,3.23W
1856-02-01,26.597,1.772,Abidjan,Côte D'Ivoire,5.63N,3.23W
1856-03-01,27.297,1.071,Abidjan,Côte D'Ivoire,5.63N,3.23W
1856-04-01,26.998,1.199,Abidjan,Côte D'Ivoire,5.63N,3.23W
1856-05-01,26.052,1.526,Abidjan,Côte D'Ivoire,5.63N,3.23W
1856-07-01,24.031,1.274,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-01-01,26.549,1.749,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-03-01,27.299,1.263,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-04-01,26.069,1.206,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-05-01,25.256,1.213,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-06-01,24.358,1.161,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-07-01,24.09,1.257,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-08-01,23.264,1.274,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-09-01,23.71,1.218,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-10-01,24.577,1.227,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-11-01,25.778,1.158,Abidjan,Côte D'Ivoire,5.63N,3.23W
1857-12-01,25.91,1.388,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-01-01,26.454,1.964,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-02-01,26.783,1.201,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-03-01,27.285,1.236,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-04-01,27.161,1.27,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-05-01,25.925,1.235,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-06-01,25.014,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-07-01,23.531,1.16,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-08-01,23.475,1.325,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-09-01,23.712,1.166,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-10-01,25.17,1.198,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-11-01,26.417,1.279,Abidjan,Côte D'Ivoire,5.63N,3.23W
1858-12-01,24.914,1.824,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-01-01,26.176,1.514,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-02-01,27.094,1.445,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-03-01,28.034,1.299,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-04-01,28.273,1.419,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-05-01,27.137,1.576,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-06-01,25.361,1.32,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-07-01,23.975,1.264,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-08-01,23.515,1.272,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-09-01,23.785,1.199,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-10-01,25.316,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-11-01,26.163,1.389,Abidjan,Côte D'Ivoire,5.63N,3.23W
1859-12-01,26.222,1.587,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-01-01,26.532,1.372,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-02-01,27.19,1.295,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-03-01,26.825,1.278,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-05-01,26.11,1.158,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-06-01,25.404,1.196,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-07-01,24.275,1.217,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-08-01,23.96,1.282,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-09-01,24.52,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-10-01,25.158,1.123,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-11-01,25.324,1.146,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-12-01,24.81,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-01-01,25.189,1.648,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-02-01,26.443,1.402,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-03-01,27.542,1.224,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-04-01,27.034,1.288,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-05-01,25.984,1.211,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-06-01,25.176,1.426,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-07-01,24.084,1.317,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-08-01,23.648,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-11-01,25.762,1.476,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-12-01,25.856,1.656,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-01-01,25.427,1.396,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-02-01,26.064,1.339,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-03-01,27.177,1.527,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-04-01,26.656,1.554,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-06-01,24.912,1.435,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-07-01,24.211,1.376,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-08-01,23.681,1.509,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-09-01,23.987,1.436,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-10-01,24.933,1.367,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-12-01,24.687,1.448,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-03-01,27.658,1.245,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-05-01,26.526,1.174,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-06-01,25.815,1.271,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-07-01,24.645,1.133,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-08-01,24.116,1.06,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-09-01,24.689,1.326,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-10-01,25.158,1.006,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-12-01,26.341,1.074,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-01-01,26.501,1.629,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-02-01,27.216,1.18,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-03-01,27.022,1.4,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-04-01,27.298,1.014,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-05-01,25.925,1.15,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-07-01,23.974,1.022,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-08-01,23.546,1.145,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-09-01,24.491,0.924,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-10-01,25.103,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-11-01,25.643,1.32,Abidjan,Côte D'Ivoire,5.63N,3.23W
